method,batch_size,replicate_index,time_milliseconds,time_per_sample_milliseconds,peak_memory_gigabytes
EquiformerV2 AD (direct force),3,8,3921.21240234375,1307.07080078125,1.232232448e-06
EquiformerV2 AD (direct force),3,9,2280.636474609375,760.212158203125,9.624033279999999e-07
EquiformerV2 AD (direct force),4,0,4846.359375,1211.58984375,1.3306019839999998e-06
EquiformerV2 AD (direct force),4,1,5179.56591796875,1294.8914794921875,1.369447936e-06
EquiformerV2 AD (direct force),4,2,6877.361328125,1719.34033203125,1.577318912e-06
EquiformerV2 AD (direct force),4,3,6210.9970703125,1552.749267578125,1.474179584e-06
EquiformerV2 AD (direct force),4,4,3978.76025390625,994.6900634765625,1.195782144e-06
EquiformerV2 AD (direct force),4,5,7321.970703125,1830.49267578125,1.605450752e-06
EquiformerV2 AD (direct force),4,6,4631.0859375,1157.771484375,1.284279808e-06
EquiformerV2 AD (direct force),4,7,5978.876953125,1494.71923828125,1.4664714240000002e-06
EquiformerV2 AD (direct force),4,8,4423.2900390625,1105.822509765625,1.2591616e-06
EquiformerV2 AD (direct force),4,9,2795.75341796875,698.9383544921875,1.041391104e-06
EquiformerV2 AD (direct force),5,0,6400.10009765625,1280.02001953125,1.451439104e-06
EquiformerV2 AD (direct force),5,1,9357.9189453125,1871.5837890625,1.754530304e-06
EquiformerV2 AD (direct force),5,2,10058.9892578125,2011.7978515625,1.828540416e-06
EquiformerV2 AD (direct force),5,3,7089.28125,1417.85625,1.534061056e-06
EquiformerV2 AD (direct force),5,4,4546.236328125,909.247265625,1.239128064e-06
EquiformerV2 AD (direct force),5,5,9701.060546875,1940.212109375,1.7864192000000001e-06
EquiformerV2 AD (direct force),5,6,8776.349609375,1755.269921875,1.7151959039999999e-06
EquiformerV2 AD (direct force),5,7,9112.44921875,1822.48984375,1.724248576e-06
EquiformerV2 AD (direct force),5,8,9328.404296875,1865.680859375,1.755336192e-06
EquiformerV2 AD (direct force),5,9,7853.70947265625,1570.74189453125,1.593938944e-06
EquiformerV2 AD (direct force),6,0,8717.5927734375,1452.93212890625,1.634018816e-06
EquiformerV2 AD (direct force),6,1,19199.533203125,3199.9222005208335,2.4790528e-06
EquiformerV2 AD (direct force),6,2,8809.2265625,1468.2044270833333,1.617068544e-06
EquiformerV2 AD (direct force),6,3,12885.6328125,2147.60546875,1.994959872e-06
EquiformerV2 AD (direct force),6,4,11633.001953125,1938.8336588541667,1.91854592e-06
EquiformerV2 AD (direct force),6,5,8341.4482421875,1390.2413736979167,1.614557184e-06
EquiformerV2 AD (direct force),6,6,11917.9609375,1986.3268229166667,1.920788992e-06
EquiformerV2 AD (direct force),6,7,10818.6318359375,1803.1053059895833,1.829427712e-06
EquiformerV2 AD (direct force),6,8,12272.3896484375,2045.3982747395833,1.95330816e-06
EquiformerV2 AD (direct force),6,9,12000.4296875,2000.0716145833333,1.930605568e-06
EquiformerV2 AD (direct force),7,0,20403.62890625,2914.804129464286,2.4941603839999996e-06
EquiformerV2 AD (direct force),7,1,13392.6591796875,1913.237025669643,1.987254784e-06
EquiformerV2 AD (direct force),7,2,15276.85546875,2182.4079241071427,2.099945984e-06
EquiformerV2 AD (direct force),7,3,13377.34375,1911.049107142857,1.992691712e-06
EquiformerV2 AD (direct force),7,4,14959.279296875,2137.0398995535716,2.069307392e-06
EquiformerV2 AD (direct force),7,5,12414.662109375,1773.523158482143,1.912722944e-06
EquiformerV2 AD (direct force),7,6,16534.849609375,2362.1213727678573,2.197325824e-06
EquiformerV2 AD (direct force),7,7,14078.4111328125,2011.2015904017858,2.023152128e-06
EquiformerV2 AD (direct force),7,8,14310.333984375,2044.3334263392858,2.045479424e-06
EquiformerV2 AD (direct force),7,9,13200.626953125,1885.8038504464287,1.9610373119999998e-06
HIP,1,0,36.44598388671875,36.44598388671875,3.94536448e-07
HIP,1,1,35.218624114990234,35.218624114990234,3.73471232e-07
HIP,1,2,35.84102249145508,35.84102249145508,3.85994752e-07
HIP,1,3,37.89823913574219,37.89823913574219,4.1004032000000003e-07
