model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
EquiformerV2 AD with Hessian training,28136,201,17,0.0065764314495027,0.0303507577627897
EquiformerV2 AD with Hessian training,10788,202,14,0.0047686477191746,0.0251795332878828
EquiformerV2 AD with Hessian training,6574,203,17,0.0107766250148415,0.0304565448313951
EquiformerV2 AD with Hessian training,35823,204,14,0.0070088002830743,0.0302628278732299
EquiformerV2 AD with Hessian training,22791,205,19,0.0051837195642292,0.0182610172778368
EquiformerV2 AD with Hessian training,24571,206,11,0.0015394386136904,0.0073761180974543
EquiformerV2 AD with Hessian training,41122,207,12,0.0084788370877504,0.0406314805150032
EquiformerV2 AD with Hessian training,9277,208,15,0.0178009383380413,0.0623399317264556
EquiformerV2 AD with Hessian training,19815,209,17,0.0156519003212451,0.0374092943966388
EquiformerV2 AD with Hessian training,46254,210,13,0.0439445748925209,0.118899255990982
EquiformerV2 AD with Hessian training,49804,211,14,0.0511428192257881,0.0893347412347793
EquiformerV2 AD with Hessian training,30888,212,19,0.0072195949032902,0.0166638065129518
EquiformerV2 AD with Hessian training,4021,213,14,0.0193644408136606,0.0929454639554023
EquiformerV2 AD with Hessian training,39058,214,14,0.0030814239289611,0.0180995650589466
EquiformerV2 AD with Hessian training,6401,215,16,0.0151447933167219,0.0357641167938709
EquiformerV2 AD with Hessian training,41975,216,16,0.0046511711552739,0.0139548517763614
EquiformerV2 AD with Hessian training,23628,217,14,0.0179167315363883,0.0635678768157959
EquiformerV2 AD with Hessian training,38645,218,14,0.0045652384869754,0.019876804202795
EquiformerV2 AD with Hessian training,3434,219,12,0.013926925137639,0.0641861110925674
EquiformerV2 AD with Hessian training,34070,220,13,0.0070574986748397,0.0324796885251998
EquiformerV2 AD with Hessian training,4818,221,15,0.011110289953649,0.0448783114552497
EquiformerV2 AD with Hessian training,32655,222,8,0.0294676683843135,0.4120401442050934
EquiformerV2 AD with Hessian training,40231,223,9,0.0062556811608374,0.0467464104294776
EquiformerV2 AD with Hessian training,14377,224,13,0.0102216694504022,0.0352000072598457
EquiformerV2 AD with Hessian training,38901,225,18,0.0019169005099684,0.0085153840482234
EquiformerV2 AD with Hessian training,25188,226,18,0.0094182714819908,0.0324690416455268
EquiformerV2 AD with Hessian training,9803,227,14,0.0184980668127536,0.0433429889380931
EquiformerV2 AD with Hessian training,41132,228,12,0.0384392738342285,0.1291210204362869
EquiformerV2 AD with Hessian training,39752,229,11,0.0178566481918096,0.1632194966077804
EquiformerV2 AD with Hessian training,40269,230,11,0.0048677450977265,0.0288813523948192
EquiformerV2 AD with Hessian training,3049,231,16,0.0028815339319407,0.0194282922893762
EquiformerV2 AD with Hessian training,7139,232,14,0.0158312302082777,0.0541181005537509
EquiformerV2 AD with Hessian training,18665,233,17,0.0133287841454148,0.0383220799267292
EquiformerV2 AD with Hessian training,4403,234,14,0.0535922907292842,0.0782258287072181
EquiformerV2 AD with Hessian training,20507,235,16,0.004411949776113,0.0139029445126652
EquiformerV2 AD with Hessian training,6553,236,13,0.0146268550306558,0.0562722198665142
EquiformerV2 AD with Hessian training,7533,237,13,0.0148125113919377,0.0641871467232704
EquiformerV2 AD with Hessian training,18484,238,15,0.0115003259852528,0.0340903624892234
EquiformerV2 AD with Hessian training,47667,239,15,0.0142576741054654,0.059209119528532
EquiformerV2 AD with Hessian training,37201,240,15,0.0183391310274601,0.0505107417702674
EquiformerV2 AD with Hessian training,15721,241,12,0.0200979877263307,0.0716787725687027
