model,dataset_index,sample_index,number_of_atoms,force_mae_eV_per_angstrom,hessian_mae_eV_per_angstrom2
Energy-force-only EquiformerV2 AD,321,4419,14,0.033460758626461,2.08273983001709
Energy-force-only EquiformerV2 AD,32853,4420,9,0.0235771611332893,3.601609945297241
Energy-force-only EquiformerV2 AD,19402,4421,16,0.0093004442751407,1.1169286966323853
Energy-force-only EquiformerV2 AD,6346,4422,16,0.0202917084097862,1.2963578701019287
Energy-force-only EquiformerV2 AD,2472,4423,18,0.0049482397735118,1.0967909097671509
Energy-force-only EquiformerV2 AD,6259,4424,13,0.0132608907297253,1.015049695968628
Energy-force-only EquiformerV2 AD,49306,4425,15,0.1202317774295806,2.9416661262512207
Energy-force-only EquiformerV2 AD,49460,4426,13,0.0329923406243324,2.1995558738708496
Energy-force-only EquiformerV2 AD,6131,4427,12,0.0144880311563611,2.307532548904419
Energy-force-only EquiformerV2 AD,20746,4428,13,0.0166309010237455,2.303497791290283
Energy-force-only EquiformerV2 AD,33540,4429,11,0.0196474008262157,2.303302526473999
Energy-force-only EquiformerV2 AD,25624,4430,15,0.015958147123456,2.3312134742736816
Energy-force-only EquiformerV2 AD,46815,4431,9,0.0774210914969444,2.9633774757385254
Energy-force-only EquiformerV2 AD,13574,4432,14,0.0175708532333374,2.331672191619873
Energy-force-only EquiformerV2 AD,46127,4433,16,0.0199019964784383,0.7633846998214722
Energy-force-only EquiformerV2 AD,9051,4434,15,0.006895241793245,2.1157026290893555
Energy-force-only EquiformerV2 AD,48799,4435,11,0.0110542960464954,3.2253334522247314
Energy-force-only EquiformerV2 AD,33066,4436,10,0.0390324518084526,2.7253122329711914
Energy-force-only EquiformerV2 AD,45800,4437,19,0.0100807454437017,1.0127758979797363
Energy-force-only EquiformerV2 AD,29425,4438,11,0.0493395552039146,4.263718605041504
Energy-force-only EquiformerV2 AD,40881,4439,9,0.0153362844139337,3.777230501174927
Energy-force-only EquiformerV2 AD,20181,4440,14,0.0090180719271302,2.3319315910339355
Energy-force-only EquiformerV2 AD,43362,4441,8,0.0107806399464607,4.373865604400635
Energy-force-only EquiformerV2 AD,5848,4442,11,0.050423789769411,1.3906364440917969
Energy-force-only EquiformerV2 AD,40201,4443,18,0.0120286094024777,1.398789882659912
Energy-force-only EquiformerV2 AD,32835,4444,10,0.0113932127133011,3.0120842456817627
Energy-force-only EquiformerV2 AD,7907,4445,12,0.0097590535879135,2.321789503097534
Energy-force-only EquiformerV2 AD,32937,4446,8,0.0370369926095008,3.795964241027832
Energy-force-only EquiformerV2 AD,34862,4447,14,0.005554508883506,2.339072704315185
Energy-force-only EquiformerV2 AD,16783,4448,10,0.029793094843626,3.7405264377594
Energy-force-only EquiformerV2 AD,14910,4449,11,0.0282782185822725,3.239851951599121
