model,number_of_atoms,eckart_eigenvalue_mae_eV_per_angstrom2,sample_index,outlier_filter_hessian_mae_eV_per_angstrom2,outlier
HIP,13,0.0485737057980166,267,0.0284199472516775,False
HIP,21,0.0341447263064929,268,0.0373461209237575,False
HIP,14,0.030524289511551,269,0.0535917729139328,False
HIP,22,0.0471553519164616,270,0.0735242888331413,False
HIP,19,0.0344744582911671,271,0.048329547047615,False
HIP,18,0.0277896821162498,272,0.0265631452202796,False
HIP,16,0.0274895256183382,273,0.0383034944534301,False
HIP,22,0.018496315612208,274,0.0255305785685777,False
HIP,9,0.0282388991191136,275,0.0759061574935913,False
HIP,15,0.0403553266631051,276,0.0652977377176284,False
HIP,18,0.0330867616737932,277,0.0384278409183025,False
HIP,15,0.0165295998718094,278,0.0265805311501026,False
HIP,21,0.0613426836103074,279,0.0479050353169441,False
HIP,21,0.01456684805646,280,0.0182163044810295,False
HIP,19,0.0245639747358541,281,0.0365941748023033,False
HIP,16,0.0385403231419596,282,0.1026924476027488,False
HIP,21,0.0311400403146623,283,0.0570763498544693,False
HIP,22,0.0177371950767421,284,0.0130588691681623,False
HIP,30,0.0314536259052668,285,0.0299091190099716,False
HIP,22,0.0187202045418767,286,0.0172144044190645,False
HIP,21,0.0083069891799578,287,0.0098540754988789,False
HIP,12,0.0367172351377211,288,0.0488541163504123,False
HIP,18,0.0132784325046432,289,0.0097339106723666,False
HIP,28,0.0335541787089167,290,0.0378118231892585,False
HIP,20,0.0260267624651112,291,0.0362756215035915,False
HIP,17,0.0851448590330494,292,0.0827389881014823,False
HIP,24,0.0064132166430304,293,0.0050933184102177,False
HIP,14,0.0312455402481567,294,0.0460765175521373,False
HIP,19,0.0284908877548796,295,0.0410739555954933,False
HIP,12,0.030552144473243,296,0.0503088757395744,False
HIP,18,0.0100932215182611,297,0.0098802400752902,False
HIP,17,0.0443482557096944,298,0.042366623878479,False
HIP,16,0.0247669351315774,299,0.0491333492100238,False
HIP,17,0.0404633284915316,300,0.0864377915859222,False
HIP,26,0.022746134738082,301,0.0234535504132509,False
HIP,20,0.0204484669775248,302,0.0187041088938713,False
HIP,21,0.0440693396350098,303,0.0799742192029953,False
HIP,21,0.0451718812527982,304,0.041329450905323,False
HIP,16,0.0357197919974194,305,0.0510927066206932,False
HIP,22,0.0274126807974561,306,0.0365088321268558,False
HIP,17,0.0255993481920298,307,0.0414805896580219,False
HIP,20,0.0293996906671136,308,0.0271448642015457,False
HIP,19,0.0264269714534009,309,0.0272160712629556,False
HIP,14,0.0471708458198385,310,0.068458080291748,False
HIP,16,0.0148254279650623,311,0.0288719199597835,False
HIP,19,0.0450545681845226,312,0.0601597726345062,False
HIP,12,0.0409868661960535,313,0.1742432415485382,False
HIP,14,0.0148276797241315,314,0.0397973619401454,False
HIP,20,0.0348322619608843,315,0.0414883010089397,False
HIP,22,0.0344579128701811,316,0.0303652491420507,False
HIP,17,0.0150300783728656,317,0.0152303334325551,False
HIP,18,0.0604577054610797,318,0.1353285610675811,False
HIP,17,0.0230638048857137,319,0.0231756083667278,False
HIP,17,0.0083824811685594,320,0.0180634967982769,False
HIP,16,0.020064056363884,321,0.0147929890081286,False
HIP,18,0.0630759088246782,322,0.1016617566347122,False
HIP,19,0.1033461682439899,323,0.0874893739819526,False
HIP,19,0.0184418944001946,324,0.0316742099821567,False
HIP,18,0.0346803222157591,325,0.0394626334309577,False
HIP,11,0.0453096179652449,326,0.1204425692558288,False
HIP,10,0.0276115418685719,327,0.0479512065649032,False
HIP,11,0.0286585757101883,328,0.0555283315479755,False
HIP,20,0.0206396745923934,329,0.0142576023936271,False
HIP,14,0.0263135672091224,330,0.0672680586576461,False
HIP,13,0.0458590682166619,331,0.1780977398157119,False
HIP,19,0.0136788981922557,332,0.0177924577146768,False
HIP,16,0.021931816502842,333,0.0434524081647396,False
HIP,26,0.0389003959358258,334,0.0421771518886089,False
HIP,15,0.0112704877402135,335,0.01814547739923,False
HIP,14,0.006756083879667,336,0.0129035599529743,False
HIP,17,0.0345334487933178,337,0.060840293765068,False
HIP,8,0.0512669617729749,338,0.0987709760665893,False
HIP,21,0.0218725413589546,339,0.0234013479202985,False
HIP,21,0.0167510020068474,340,0.0217409823089838,False
HIP,16,0.0140995090116361,341,0.0214290600270032,False
HIP,16,0.1005905738681452,342,0.1150120869278907,False
HIP,8,0.0465670758031056,343,0.1911298185586929,False
HIP,20,0.0423104271345348,344,0.0685410574078559,False
HIP,15,0.0651394344749371,345,0.125935822725296,False
HIP,25,0.0125411623464779,346,0.0133527126163244,False
HIP,18,0.0248547672757806,347,0.0291904769837856,False
HIP,21,0.0634974792582738,348,0.0498960874974727,False
