Name	Atoms	Format	Source
chno_xyz/n053_pubchem_04_f59cf35bc4	53	xyz	pubchem3d:10731388:C18H33NO
chno_xyz/n053_pubchem_05_6c276b9c09	53	xyz	pubchem3d:3930:C18H33NO
chno_xyz/n053_pubchem_06_a3a36faf0a	53	xyz	pubchem3d:5353723:C18H33NO
chno_xyz/n053_pubchem_07_9311a75461	53	xyz	pubchem3d:299686:C18H33NO
chno_xyz/n053_pubchem_08_94320ea422	53	xyz	pubchem3d:137659684:C18H33NO
chno_xyz/n053_pubchem_09_ca725901d2	53	xyz	pubchem3d:54225156:C18H33NO
chno_xyz/n053_pubchem_10_6da6449e12	53	xyz	pubchem3d:85248609:C18H33NO
chno_xyz/n054_pubchem_01_53980e6fdf	54	xyz	pubchem3d:108265:C18H34N2
chno_xyz/n054_pubchem_02_e6c243c0c3	54	xyz	pubchem3d:10850250:C18H34N2
chno_xyz/n054_pubchem_03_a108c79bab	54	xyz	pubchem3d:90126664:C18H34N2
chno_xyz/n054_pubchem_04_110f555a87	54	xyz	pubchem3d:156020292:C18H34N2
chno_xyz/n054_pubchem_05_81953c9731	54	xyz	pubchem3d:11543688:C18H34N2
chno_xyz/n054_pubchem_06_fc11c915d5	54	xyz	pubchem3d:762895:C18H34N2
chno_xyz/n054_pubchem_07_9efe6d5682	54	xyz	pubchem3d:22460248:C18H34N2
chno_xyz/n054_pubchem_08_bb3f50afb8	54	xyz	pubchem3d:59069810:C18H34N2
chno_xyz/n054_pubchem_09_f6a49a775f	54	xyz	pubchem3d:68897718:C18H34N2
chno_xyz/n054_pubchem_10_7a3adb27cf	54	xyz	pubchem3d:50960520:C18H34N2
chno_xyz/n055_pubchem_01_b9d2511cf6	55	xyz	pubchem3d:5284421:C19H34O2
chno_xyz/n055_pubchem_02_764d02b413	55	xyz	pubchem3d:12921:C19H34O2
chno_xyz/n055_pubchem_03_70165ddf62	55	xyz	pubchem3d:10424556:C19H34O2
chno_xyz/n055_pubchem_04_75d6f3ff41	55	xyz	pubchem3d:5362793:C19H34O2
chno_xyz/n055_pubchem_05_daebe26f58	55	xyz	pubchem3d:8203:C19H34O2
chno_xyz/n055_pubchem_06_8c5a97034c	55	xyz	pubchem3d:5471014:C19H34O2
